source,target,anchor,reason
/guides/jazzcash-deposit-guide/,/jazzcash-guide/,"JazzCash Guide","route article to closest hub"
/jazzcash-guide/,/guides/jazzcash-deposit-guide/,"K1 Game JazzCash Deposit Guide","supporting long-tail guide"
/guides/easypaisa-withdrawal-guide/,/easypaisa-guide/,"Easypaisa Guide","route article to closest hub"
/easypaisa-guide/,/guides/easypaisa-withdrawal-guide/,"K1 Game Easypaisa Withdrawal Guide","supporting long-tail guide"
/guides/withdrawal-pending/,/withdrawals/,"Withdrawals","route article to closest hub"
/withdrawals/,/guides/withdrawal-pending/,"K1 Game Withdrawal Pending: Evidence Checklist","supporting long-tail guide"
/guides/failed-deposit/,/payment-issues/,"Payment Issues","route article to closest hub"
/payment-issues/,/guides/failed-deposit/,"K1 Game Failed Deposit: What to Record","supporting long-tail guide"
/guides/minimum-withdrawal/,/jazzcash-guide/,"JazzCash Guide","route article to closest hub"
/jazzcash-guide/,/guides/minimum-withdrawal/,"K1 Game Minimum Withdrawal Notes","supporting long-tail guide"
/guides/account-name-mismatch/,/easypaisa-guide/,"Easypaisa Guide","route article to closest hub"
/easypaisa-guide/,/guides/account-name-mismatch/,"K1 Game Wallet Account Name Mismatch","supporting long-tail guide"
/guides/deposit-vs-withdrawal/,/withdrawals/,"Withdrawals","route article to closest hub"
/withdrawals/,/guides/deposit-vs-withdrawal/,"K1 Game Deposit vs Withdrawal: User Flow","supporting long-tail guide"
/guides/payment-safety/,/payment-issues/,"Payment Issues","route article to closest hub"
/payment-issues/,/guides/payment-safety/,"K1 Game Payment Safety Checklist","supporting long-tail guide"
/guides/transaction-proof/,/jazzcash-guide/,"JazzCash Guide","route article to closest hub"
/jazzcash-guide/,/guides/transaction-proof/,"K1 Game Transaction Proof: What Users Should Keep","supporting long-tail guide"
/guides/wallet-faq-pakistan/,/easypaisa-guide/,"Easypaisa Guide","route article to closest hub"
/easypaisa-guide/,/guides/wallet-faq-pakistan/,"K1 Game Wallet FAQ for Pakistan","supporting long-tail guide"
/guides/jazzcash-vs-easypaisa/,/withdrawals/,"Withdrawals","route article to closest hub"
/withdrawals/,/guides/jazzcash-vs-easypaisa/,"K1 Game JazzCash vs Easypaisa","supporting long-tail guide"
/guides/weekly-payment-log/,/payment-issues/,"Payment Issues","route article to closest hub"
/payment-issues/,/guides/weekly-payment-log/,"Weekly K1 Game Payment Issue Log","supporting long-tail guide"
